id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
0,KMT-2025-BLG-2272L b,6620,2.47 Jupiters,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/kmt-2025-blg-2272l-b/
1,KMT-2025-BLG-0030L b,6720,1.15 Jupiters,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/kmt-2025-blg-0030l-b/
2,KMT-2025-BLG-0026L b,7280,2.13 Jupiters,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/kmt-2025-blg-0026l-b/
3,OGLE-2016-BLG-0261L b,7850,0.21 Jupiters,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-0261l-b/
4,HD 715 b,167.253,0.635 Jupiters,8.703,2026,https://science.nasa.gov/exoplanet-catalog/hd-715-b/
5,HD 278555 b,289.829,0.84 Jupiters,11.046,2026,https://science.nasa.gov/exoplanet-catalog/hd-278555-b/
6,KMT-2025-BLG-1160L b,6580,25.36 Earths,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/kmt-2025-blg-1160l-b/
7,KMT-2025-BLG-0975L b,7923,29.8 Earths,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/kmt-2025-blg-0975l-b/
8,TOI-4409 b,179.419,14.93793513 Earths,12.691,2026,https://science.nasa.gov/exoplanet-catalog/toi-4409-b/
9,TOI-3278 b,904.752,0.3 Jupiters,14.161,2026,https://science.nasa.gov/exoplanet-catalog/toi-3278-b/
10,HD 50554 d,31.1664,10.4 Earths,6.8561,2026,https://science.nasa.gov/exoplanet-catalog/hd-50554-d/
11,HD 50554 c,31.1664,5.3 Earths,6.8561,2026,https://science.nasa.gov/exoplanet-catalog/hd-50554-c/
12,TOI-3053 b,337.627,0.85 Jupiters,13.108,2026,https://science.nasa.gov/exoplanet-catalog/toi-3053-b/
13,CD-35 2722 B b,Unknown,0.92 Jupiters,Unknown,2026,https://science.nasa.gov/exoplanet-catalog/cd-35-2722-b-b/
14,KOI-884 e,663.711,0.20782928 Jupiters,15.199,2014,https://science.nasa.gov/exoplanet-catalog/koi-884-e/
15,KOI-319 b,660.138,10 Jupiters,12.675,2014,https://science.nasa.gov/exoplanet-catalog/koi-319-b/
16,KOI-319 c,660.138,27.7 Jupiters,12.675,2014,https://science.nasa.gov/exoplanet-catalog/koi-319-c/
17,TOI-6158 b,180.96,0.425 Jupiters,16.29,2026,https://science.nasa.gov/exoplanet-catalog/toi-6158-b/
18,TOI-5811 B b,170.135,0.81 Jupiters,8.85,2026,https://science.nasa.gov/exoplanet-catalog/toi-5811-b-b/
19,TOI-7394 B b,189.986,2.1 Jupiters,15.5219,2026,https://science.nasa.gov/exoplanet-catalog/toi-7394-b-b/
20,Gl 725 B c,6.842357,3.4 Earths,9.7,2026,https://science.nasa.gov/exoplanet-catalog/gl-725-b-c/
21,HIP 81991 b,43.9016,9.5 Jupiters,6.56168,2026,https://science.nasa.gov/exoplanet-catalog/hip-81991-b/
22,HD 202206 b,45.9665,21.55 Jupiters,8.08,2026,https://science.nasa.gov/exoplanet-catalog/hd-202206-b/
23,MOA-2020-BLG-108L b,5130,10.67 Jupiters,26.34,2026,https://science.nasa.gov/exoplanet-catalog/moa-2020-blg-108l-b/
24,TOI-7393 b,189.038,0.61 Jupiters,14.834,2026,https://science.nasa.gov/exoplanet-catalog/toi-7393-b/
25,TOI-7265 B b,143.97,0.71 Jupiters,14.265,2026,https://science.nasa.gov/exoplanet-catalog/toi-7265-b-b/
26,TOI-7189 b,192.09,0.5 Jupiters,15.88,2026,https://science.nasa.gov/exoplanet-catalog/toi-7189-b/
27,TOI-7169 b,467.151,0.41 Jupiters,12.088,2026,https://science.nasa.gov/exoplanet-catalog/toi-7169-b/
28,TOI-5806 b,119.199,2.27 Jupiters,8.703,2026,https://science.nasa.gov/exoplanet-catalog/toi-5806-b/
29,TOI-4492 b,143.184,5.92 Jupiters,10.324,2026,https://science.nasa.gov/exoplanet-catalog/toi-4492-b/
30,TOI-2114 b,317.845,1.02 Jupiters,10.265,2026,https://science.nasa.gov/exoplanet-catalog/toi-2114-b/
31,TOI-603 b,205.924,33 Earths,10.312,2026,https://science.nasa.gov/exoplanet-catalog/toi-603-b/
32,HD 60779 c,35.4445,28.3 Earths,7.1634,2026,https://science.nasa.gov/exoplanet-catalog/hd-60779-c/
33,HD 60779 b,35.4445,14.19 Earths,7.1634,2026,https://science.nasa.gov/exoplanet-catalog/hd-60779-b/
34,TOI-5628 A b,110.03,28.60455663 Earths,17.75,2026,https://science.nasa.gov/exoplanet-catalog/toi-5628-a-b/
35,NGTS-39 b,278.402,1.467 Jupiters,11.568,2026,https://science.nasa.gov/exoplanet-catalog/ngts-39-b/
36,TOI-2040 b,144.717,0.781 Jupiters,11.489,2026,https://science.nasa.gov/exoplanet-catalog/toi-2040-b/
37,Gliese 48 b,8.23366,8.11 Earths,9.98,2026,https://science.nasa.gov/exoplanet-catalog/gliese-48-b/
